Gio,1,2,3,4,5,6,7,8,9,10,11,12
0,1.16,1.15,0.67,0.7,0.53,0.53,0.56,1.1,0.46,0.59,0.73,1.22
1,0.89,1.01,0.59,0.59,0.39,0.42,0.39,0.62,0.34,0.4,0.43,1.22
2,0.81,0.81,0.55,0.52,0.34,0.28,0.33,0.42,0.31,0.35,0.43,1.02
3,0.74,0.75,0.58,0.49,0.33,0.28,0.25,0.27,0.25,0.34,0.33,0.92
4,0.75,0.67,0.54,0.45,0.32,0.28,0.25,0.24,0.24,0.38,0.39,1.08
5,0.76,0.79,0.58,0.48,0.32,0.31,0.28,0.22,0.25,0.37,0.35,1.06
6,0.96,1.47,1.18,0.64,0.71,0.75,0.39,0.29,0.89,0.8,0.77,1.11
7,1.91,1.99,1.84,1.25,1.16,1.04,1.05,0.71,1.47,1.53,1.63,2.02
8,1.9,1.88,1.66,1.12,1.38,1.07,1.01,1.18,1.51,1.62,1.61,2.64
9,1.68,1.55,1.55,1.1,1.25,0.96,0.81,1.34,1.17,1.34,1.31,2.38
10,1.54,1.3,1.45,1.11,0.91,0.94,0.68,1.33,0.9,1.34,1.39,2.28
11,1.5,1.25,1.1,1.04,0.88,0.89,0.62,1.2,0.91,1.43,1.55,2.13
12,1.52,1.33,1.05,0.8,0.98,0.7,0.57,1.01,0.74,1.32,1.53,1.82
13,1.4,1.15,1.11,0.62,1.0,0.77,0.52,0.88,0.64,1.35,1.51,1.85
14,1.38,1.23,1.13,0.7,1.1,0.74,0.53,0.86,0.74,1.16,1.29,1.76
15,1.51,1.18,1.13,0.64,0.97,0.59,0.44,0.73,0.89,1.11,1.18,1.75
16,1.6,0.97,1.09,0.59,0.82,0.65,0.45,0.58,0.96,0.94,1.01,2.18
17,2.01,0.97,1.11,0.67,0.91,0.75,0.55,0.42,0.91,0.88,1.37,2.29
18,2.5,1.78,1.53,0.94,1.13,1.16,0.82,0.59,0.93,1.01,2.04,2.66
19,2.69,2.46,2.92,1.29,1.53,1.56,1.22,0.88,1.39,1.92,2.59,2.62
20,2.74,2.38,2.72,1.31,1.82,1.44,1.08,0.78,2.17,2.09,2.7,2.86
21,2.36,2.3,2.59,2.03,2.25,1.57,1.18,0.75,2.68,2.07,2.22,2.77
22,1.54,1.83,1.91,1.75,1.69,1.33,1.35,0.8,1.61,1.4,1.62,2.11
23,1.27,1.43,1.07,1.0,0.91,0.86,0.72,1.15,0.89,0.76,0.91,1.65
